alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-1.700000,-0.195300,0.006070,-0.000100,-32.174629,3600000.000000,6.000000,-0.289300,0.006070,0.006070,-47.660670,0.750000
-1.550000,-0.178100,0.006030,-0.000000,-29.535655,3600000.000000,6.000000,-0.263822,0.006030,0.006030,-43.751525,0.750000
-1.400000,-0.160800,0.006000,-0.000000,-26.800000,3600000.000000,6.000000,-0.238195,0.006000,0.006000,-39.699166,0.750000
-1.250000,-0.143700,0.005980,-0.000000,-24.030100,3600000.000000,6.000000,-0.212865,0.005980,0.005980,-35.596080,0.750000
-1.100000,-0.126500,0.005950,-0.000000,-21.260504,3600000.000000,6.000000,-0.187386,0.005950,0.005950,-31.493443,0.750000
-0.950000,-0.109200,0.005920,-0.000000,-18.445946,3600000.000000,6.000000,-0.161759,0.005920,0.005920,-27.324204,0.750000
-0.800000,-0.091900,0.005910,-0.000000,-15.549915,3600000.000000,6.000000,-0.136133,0.005910,0.005910,-23.034279,0.750000
-0.650000,-0.074700,0.005900,-0.000000,-12.661017,3600000.000000,6.000000,-0.110654,0.005900,0.005900,-18.754918,0.750000
-0.500000,-0.057500,0.005890,0.000000,-9.762309,3600000.000000,6.000000,-0.085175,0.005890,0.005890,-14.461027,0.750000
-0.350000,-0.040200,0.005870,-0.000000,-6.848382,3600000.000000,6.000000,-0.059549,0.005870,0.005870,-10.144591,0.750000
-0.200000,-0.023000,0.005850,0.000000,-3.931624,3600000.000000,6.000000,-0.034070,0.005850,0.005850,-5.823962,0.750000
-0.050000,-0.005700,0.005860,-0.000000,-0.972696,3600000.000000,6.000000,-0.008443,0.005860,0.005860,-1.440867,0.750000
0.100000,0.011500,0.005870,-0.000000,1.959114,3600000.000000,6.000000,0.017035,0.005870,0.005870,2.902060,0.750000
0.250000,0.028800,0.005870,-0.000000,4.906303,3600000.000000,6.000000,0.042662,0.005870,0.005870,7.267767,0.750000
0.400000,0.046000,0.005870,-0.000000,7.836457,3600000.000000,6.000000,0.068140,0.005870,0.005870,11.608238,0.750000
